date,HDD,CDD,Total_Degree_Days,HDD_MA7,CDD_MA7,Total_DD_MA7,Total_DD_MA30,Weather_Shock
2010-12-16,31,0,31,31.714285714285715,0.0,31.714285714285715,22.066666666666666,8.933333333333334
2010-12-17,31,0,31,31.571428571428573,0.0,31.571428571428573,22.6,8.399999999999999
2010-12-20,29,0,29,31.285714285714285,0.0,31.285714285714285,23.033333333333335,5.966666666666665
2010-12-21,26,0,26,31.0,0.0,31.0,23.4,2.6000000000000014
2010-12-22,25,0,25,30.142857142857142,0.0,30.142857142857142,23.766666666666666,1.2333333333333343
2010-12-23,27,0,27,29.0,0.0,29.0,24.233333333333334,2.7666666666666657
2010-12-27,34,0,34,29.0,0.0,29.0,24.9,9.100000000000001
2010-12-28,31,0,31,29.0,0.0,29.0,25.433333333333334,5.566666666666666
2010-12-29,28,0,28,28.571428571428573,0.0,28.571428571428573,25.833333333333332,2.166666666666668
2010-12-30,26,0,26,28.142857142857142,0.0,28.142857142857142,26.233333333333334,-0.23333333333333428
2010-12-31,23,0,23,27.714285714285715,0.0,27.714285714285715,26.533333333333335,-3.533333333333335
2011-01-03,31,0,31,28.571428571428573,0.0,28.571428571428573,26.966666666666665,4.033333333333335
2011-01-04,30,0,30,29.0,0.0,29.0,27.3,2.6999999999999993
2011-01-05,29,0,29,28.285714285714285,0.0,28.285714285714285,27.766666666666666,1.2333333333333343
2011-01-06,29,0,29,28.0,0.0,28.0,28.166666666666668,0.8333333333333321
2011-01-07,30,0,30,28.285714285714285,0.0,28.285714285714285,28.433333333333334,1.5666666666666664
2011-01-10,36,0,36,29.714285714285715,0.0,29.714285714285715,28.866666666666667,7.133333333333333
2011-01-11,36,0,36,31.571428571428573,0.0,31.571428571428573,29.333333333333332,6.666666666666668
2011-01-12,35,0,35,32.142857142857146,0.0,32.142857142857146,29.766666666666666,5.233333333333334
2011-01-13,35,0,35,32.857142857142854,0.0,32.857142857142854,30.2,4.800000000000001
2011-01-14,33,0,33,33.42857142857143,0.0,33.42857142857143,30.433333333333334,2.5666666666666664
2011-01-18,26,0,26,33.0,0.0,33.0,30.466666666666665,-4.466666666666665
2011-01-19,26,0,26,32.42857142857143,0.0,32.42857142857143,30.3,-4.300000000000001
2011-01-20,30,0,30,31.571428571428573,0.0,31.571428571428573,30.266666666666666,-0.2666666666666657
2011-01-21,34,0,34,31.285714285714285,0.0,31.285714285714285,30.333333333333332,3.666666666666668
2011-01-24,35,0,35,31.285714285714285,0.0,31.285714285714285,30.466666666666665,4.533333333333335
